1,2017-10-29 12:56:29.551879,afternoon,Redinha,-5.8323,-35.2054,-5.742772,-35.205806,BRL,8.59,1500,32.0,25.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 12:56:32.643651,afternoon,Salinas,-5.8323,-35.2054,-5.763117,-35.247973,BRL,8.49,1500,27.0,21.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 12:56:32.643651,afternoon,Salinas,-5.8323,-35.2054,-5.763117,-35.247973,BRL,8.49,1500,32.0,25.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 12:56:35.286279,afternoon,Igapó,-5.8323,-35.2054,-5.769009,-35.254755,BRL,7.46,1140,24.0,19.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 12:56:35.286279,afternoon,Igapó,-5.8323,-35.2054,-5.769009,-35.254755,BRL,7.46,1140,28.0,22.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 12:56:37.810185,afternoon,Nossa Senhora da Apresentação,-5.8323,-35.2054,-5.763654,-35.282543,BRL,9.31,1440,28.0,22.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 12:56:37.810185,afternoon,Nossa Senhora da Apresentação,-5.8323,-35.2054,-5.763654,-35.282543,BRL,9.31,1440,33.0,27.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 12:56:40.202130,afternoon,Potengi,-5.8323,-35.2054,-5.758634,-35.24701,BRL,8.65,1440,27.0,21.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 12:56:40.202130,afternoon,Potengi,-5.8323,-35.2054,-5.758634,-35.24701,BRL,8.65,1440,32.0,25.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 12:56:44.107408,afternoon,Ribeira,-5.8323,-35.2054,-5.774943,-35.205578,BRL,6.03,1080,21.0,16.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 12:56:44.107408,afternoon,Ribeira,-5.8323,-35.2054,-5.774943,-35.205578,BRL,6.03,1080,25.0,20.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
