Series title;01/01/05;02/01/05;03/01/05;04/01/05;05/01/05;06/01/05;07/01/05;08/01/05;09/01/05;10/01/05;11/01/05;12/01/05;12/31/05;01/01/06;02/01/06;03/01/06;04/01/06;05/01/06;06/01/06;07/01/06;08/01/06;09/01/06;10/01/06;11/01/06;12/01/06;01/01/07;02/01/07;03/01/07;04/01/07;05/01/07;06/01/07;07/01/07;08/01/07;09/01/07;10/01/07;11/01/07;12/01/07;01/01/08;02/01/08;03/01/08;04/01/08;05/01/08;06/01/08;07/01/08;08/01/08;09/01/08;10/01/08;11/01/08;12/01/08;01/01/09;02/01/09;03/01/09;04/01/09;05/01/09;06/01/09;07/01/09;08/01/09;09/01/09;10/01/09;11/01/09;12/01/09;01/01/10;02/01/10;03/01/10;04/01/10;05/01/10;06/01/10;07/01/10;08/01/10;09/01/10;10/01/10;11/01/10;12/01/10;01/01/11;02/01/11;03/01/11;04/01/11;05/01/11;06/01/11;07/01/11;08/01/11;09/01/11;10/01/11;11/01/11;12/01/11;01/01/12;02/01/12;03/01/12;04/01/12;05/01/12;06/01/12;07/01/12;08/01/12;09/01/12;10/01/12;11/01/12;12/01/12;01/01/13;02/01/13;03/01/13;04/01/13;05/01/13;06/01/13;07/01/13;08/01/13;09/01/13;10/01/13;11/01/13;12/01/13;12/31/2013;01/01/14;02/01/14;03/01/14;04/01/14;05/01/14;06/01/14;07/01/14;08/01/14;09/01/14;10/01/14;11/01/14;12/01/14;01/01/15;02/01/15;03/01/15;04/01/15;05/01/15;06/01/15;07/01/15;08/01/15;09/01/15;10/01/15;11/01/15;12/01/15;01/01/16;02/01/16;03/01/16;04/01/16;05/01/16;06/01/16;07/01/16;08/01/16;09/01/16;10/01/16;11/01/16;12/01/16;01/01/17;02/01/17;03/01/17;04/01/17;05/01/17;06/01/17;07/01/17
 Annapolis ;3,7;3,9;3,7;3,3;3,2;3,9;3,7;3,6;3,6;3,4;3,3;2,9;3,6;3,7;3,5;3;2,8;3,2;4;4;3,7;3,4;3,1;3;2,8;3,4;3,2;2,8;2,6;2,7;3,3;3,2;3,1;3;2,9;2,6;2,5;3,1;3;2,9;2,6;3,3;3,9;3,9;4;3,9;4;4,1;4,6;5,5;5,8;5,7;5,4;6;6,2;6,1;6;6;6,2;5,9;6;7,5;7,3;7,1;6,5;6,6;7;7,1;7,1;6,8;6,4;6,5;6,3;7,1;7;6,3;5,4;5,7;6,3;6;6,2;6,1;5,8;5,5;5,6;6,4;6,5;5,9;5,3;5,8;6,3;6,1;6,1;5,6;5,6;5,2;5,3;6,4;6;5,4;5;5,5;6,1;5,8;5,5;5,3;5,1;4,9;4,4;5,45;5,4;5,5;5,2;4,4;4,9;5,1;5,2;5;4,6;4,4;4,4;4,2;5;4,8;4,6;3,9;4,3;4,5;4,3;4,1;3,9;3,9;3,7;3,5;4,2;4,2;3,7;3,1;3,3;3,9;3,6;3,6;3,4;3,4;3,2;3,1;3,7;3,8;3,5;3,2;3,3;3,6;3,4
 Bowie ;3,4;3,6;3,4;3,1;3,3;3,6;3,3;3,1;2,9;2,9;3;2,7;3,2;3;3;3;2,8;3,2;3,5;3,5;3,2;3;2,9;3;2,6;2,8;2,8;2,3;2,3;2,5;2,9;2,6;2,5;2,4;2,3;2,2;2,1;2,3;2,4;2,3;2,3;2,8;3,2;3,2;3,1;3,2;3,4;3,5;3,9;4,2;4,4;4,2;4,3;4,9;5,1;4,9;4,8;4,8;4,9;4,6;4,7;6,2;6,3;6,3;5,9;6;6,3;6,3;6,2;6;6;6,2;5,8;6,1;6;5,7;5,7;5,9;6,4;6,1;6,3;6;5,7;5,4;5,4;5,7;5,6;5,6;5,3;5,7;6,2;6,2;6,1;5,6;5,7;5,5;5,5;6,1;5,9;5,7;5,3;5,7;6,1;5,7;5,6;5,4;6,1;5,2;4,7;5,7;5,2;5,1;5,2;4,8;5;5,4;5,4;5,2;4,9;4,7;4,6;4,3;4,7;4,4;4,3;4;4,4;4,6;4,5;4,4;4,3;4,3;4;3,5;3,8;3,6;3,5;3,2;3,3;3,7;3,6;3,6;3,4;3,5;3,4;3,2;3,6;3,6;3,5;3,4;3,5;3,7;3,6
 College Park ;4,6;4,7;5;4,1;3,9;5,1;4,9;4;3,7;4;4,3;4,2;4,25;4,2;3,7;3,7;3,5;3,6;5,4;4,7;4,4;3,9;3,8;3,8;4;4,6;3,9;3,4;3,2;2,9;4,6;4;3,1;3,4;3,2;3,2;2,9;3,8;3,3;3,2;2,9;3,7;5,1;5,6;4,9;5,2;5;4,8;4,7;5,8;6,4;5,5;5,6;5,8;7,5;7;6,4;6,8;7,6;6,8;6;9,6;8,7;7,4;7,7;8,1;9;9,6;9,2;9,2;9,5;8,2;7,2;7,9;7,7;7,1;7,1;8,3;9,4;9,2;8,8;8,6;8,5;7,8;6,9;8,3;8,7;8,1;7,7;8,2;10,4;9,1;7,9;7,8;7,9;7,6;6,5;8;8,4;8,2;7,5;8,5;10,1;9,3;8,2;6,9;7,9;6,9;6,1;8,1;6,7;7,5;7,2;6,4;7,1;8,5;9,5;8,4;7,5;7,4;6,2;5,4;6,5;6,5;5,5;5,7;6,5;8,3;8,8;6,9;6,5;6,5;5,3;4,6;5,1;5,3;4,4;5,1;4,7;6,6;7,8;5,8;5,8;6,1;4,3;4,1;5,6;6,4;5,2;5;4,4;5,7;6,6
 Frederick ;3,8;3,9;3,7;3,3;3,5;3,8;3,7;3,4;3,2;3,1;3,1;2,7;3,45;3,4;3,5;3,1;3,2;3,5;3,9;3,9;3,8;3,4;3,3;3,4;3;3,5;3,5;3,1;2,8;3;3,4;3,3;3;2,9;2,7;2,6;2,6;3,4;3,3;3,1;2,9;3,5;3,9;3,9;4,1;4,1;4,3;4,5;5,1;6;6,5;6,4;6,1;6,7;6,9;7,1;6,5;6,7;6,8;6,7;6,8;7,7;7,8;7,7;7,1;7,3;7,4;7,6;7,4;7,2;7;7,2;7;7,4;7,3;7;6,8;7;7,3;7,1;7,1;6,8;6,7;6,4;6,5;6,8;6,9;6,6;6,2;6,5;6,8;6,8;6,5;6,3;6,2;6,2;6,3;6,8;6,6;6,4;5,9;6,1;6,6;6,3;6;5,9;6;5,4;5,2;6,05;5,7;5,7;5,7;5,1;5,5;5,8;5,8;5,5;5,3;5,2;5,1;4,8;5,5;5,1;4,9;4,5;4,8;5;4,7;4,5;4,5;4,5;4,4;4,1;4,4;4,3;4;3,5;3,6;4,1;4;3,9;3,8;3,8;3,6;3,5;4,2;4,2;3,9;3,5;3,7;3,8;3,8
 Gaithersburg ;3,5;3,6;3,4;3;3,2;3,3;3,2;2,8;2,7;2,7;2,8;2,4;3,1;2,8;2,9;2,6;2,6;2,9;3,3;3,3;3;2,9;2,7;2,7;2,5;2,9;2,9;2,4;2,3;2,5;3;2,8;2,5;2,6;2,5;2,3;2,3;2,7;2,6;2,4;2,2;2,8;3,3;3,3;3,2;3,3;3,6;3,7;3,9;4,6;4,9;4,9;4,8;5,3;5,6;5,4;5,2;5,3;5,5;5,3;5,4;6,8;6,8;6,7;6;6,2;6,2;6;5,8;5,6;5,4;5,3;5,2;5,7;5,8;5,6;5,3;5,6;6,1;5,9;5,8;5,9;5,5;5,3;5,1;5,7;5,8;5,5;5;5,2;5,6;5,5;5,5;5,2;5,4;5,2;5,3;5,7;5,7;5,3;4,9;5,3;5,7;5,2;5;4,9;4,9;4,4;4,1;5,1;4,5;4,6;4,6;4,1;4,5;4,8;4,7;4,6;4,5;4,3;4,2;3,9;4,4;4,2;4,1;3,6;4;4,1;3,8;3,6;3,7;3,8;3,6;3,2;3,8;3,7;3,4;3;3,1;3,5;3,3;3,1;3,3;3,3;3,1;2,8;3,3;3,3;3,1;2,8;3,1;3,2;3,4
 Hagerstown ;5,4;6;5,5;4,7;4,5;4,8;4,3;4,3;4,6;4,4;4;4,1;4,55;5;5,8;5,3;4,6;4,7;5,1;5;5,4;5,1;4,4;4,3;4,3;4,9;5,7;5,3;4,4;4,4;4,7;4,6;4,9;4,8;4,3;3,9;4,2;4,9;5,4;5,4;4,9;5,6;5,8;5,3;6,1;5,8;6,6;7,2;7,9;9,5;10;10,9;10,2;10,9;10,6;9,6;10,4;9,8;10;9,8;10,1;12,3;12,9;12,7;11,4;11,5;11,8;12;12,1;11,7;11,1;11,2;11;12,2;12,1;11,5;10,9;11,1;11,4;11,2;10,6;10,1;9,6;9,4;9,6;10,4;10,6;10,2;9,5;9,9;10,2;10,4;9,8;9,4;9,6;9,2;9,5;10,3;10,2;9,7;9,2;9;9,4;9,1;8,9;8,6;8,7;8,5;8,3;9,05;9,1;9,3;8,8;7,7;8,1;8,3;8,3;8,2;7,4;7,2;7,1;7,2;8;8,1;7,6;6,9;7;7;7;7;6,3;6,4;6,1;6,2;6,7;6,8;6,3;5,8;5,7;6,2;6;6,2;5,7;5,7;5,4;5,3;5,9;6,3;6;5,2;5,2;5,4;5,2
 Laurel ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,8;7;6,9;7;6,9;7,2;7,3;7;6,7;6,2;6,4;6,1;6,7;6,9;6,6;6,2;6,4;7,1;7,1;7,1;6,7;6,4;6,2;6,4;7;7,3;6,9;6,6;6,7;7,1;7,2;6,9;6,8;6,5;6,4;6,4;6,7;6,2;6,1;6,2;6,2;6,8;6,5;6,3;6,1;6,3;5,7;5,3;6,2;5,6;5,7;5,6;5,2;5,2;5,6;5,6;5,6;5;4,9;4,9;4,5;5,3;5,2;4,8;4,5;4,8;4,9;4,9;5;4,7;4,7;4,4;4;4,4;4,4;4,3;3,8;4;4,2;4;3,9;3,8;3,7;3,4;3,5;4;4,1;4,1;3,8;3,9;3,9;4
 Rockville ;3,5;3,5;3,3;2,8;3,1;3,4;3,4;3;2,7;2,7;2,7;2,4;3,05;2,8;2,7;2,6;2,6;2,9;3,3;3,3;3;2,8;2,7;2,8;2,5;2,8;2,7;2,3;2,2;2,5;3;2,8;2,5;2,4;2,4;2,2;2,1;2,4;2,4;2,3;2,2;2,8;3,3;3,3;3,2;3,2;3,5;3,5;3,9;4,3;4,7;4,5;4,5;5;5,5;5,1;5;5,2;5,3;5;4,7;5,4;5,3;5,4;4,9;5;5,2;5,1;5;4,9;4,8;4,9;4,8;5;4,8;4,8;4,4;4,7;5,2;4,9;5;5;4,8;4,3;4,4;4,7;4,8;4,7;4,4;4,7;5;4,9;4,9;4,7;4,6;4,5;4,7;4,9;4,8;4,7;4,4;4,8;5,1;4,8;4,6;4,5;4,7;4,2;3,8;4,7;4,1;4,2;4,1;3,6;4;4,3;4,2;4,1;3,9;3,8;3,7;3,5;3,8;3,6;3,6;3,3;3,7;3,9;3,6;3,4;3,6;3,6;3,4;2,9;3,2;3,2;3,1;2,8;2,9;3,3;3,1;3;3;3;2,8;2,5;3,1;3,2;3;2,7;3;3,2;3,2
 Salisbury ;5,5;5,5;5;4,6;4,3;4,7;4,4;4;3,8;3,9;4,2;4,2;4,35;4,5;4,3;3,8;3,7;3,7;4,4;4,4;4,4;4,1;4,2;4,3;4,2;5,1;4,8;4;3,6;3,7;4,2;3,9;3,5;3,5;3,6;3,6;3,8;4,7;4,5;4,4;4,2;4,6;5,1;5;4,9;5;5,6;6,5;7;8;8,1;8,1;7,6;7,6;7,9;7,7;7,7;7,4;7,9;8,3;8,7;12,2;12,3;11,8;10,7;10,2;10,1;9,9;10,1;10,1;10,5;11,3;11;12,6;12,4;11,5;11;10,7;10,8;10,5;10,6;10,6;10,9;11,4;11,5;12,4;12,1;11,2;10,2;9,9;9,9;9,5;9,3;9,5;10,3;10,9;11,3;12,4;11,8;11,1;9,9;9,5;9,6;8,8;8,6;8,7;9,6;10,3;10,2;9,75;10,8;10,7;10,1;8,8;8,6;8,8;8,6;8,1;7,5;8,2;8,7;9;10,1;9,6;8,5;7,4;7,1;7,3;7,1;6,8;6,4;6,8;7,7;8;8,4;8,3;7,5;6,6;6;6,5;6,5;6,4;6,2;6,6;7;7,5;8,2;8,3;7,3;6,3;5,5;5,5;5,4
