HYPER_PARAM,FEATURES,K_FOLDS,OUTPUT,AVG_RMSE,AVG_RMSE_%_AVG,STD_RMSE,STD_RMSE_%_AVG,AVG_MAE,AVG_MAE_%_AVG,STD_MAE,STD_MAE_%_AVG
1,FFMC,3,area,64.2344744801,4.99984542517,33.7842098477,2.62967555066,22.5848148273,1.75794359658,6.8385228582,0.532292939332
1,FFMC,3,area_adjusted,2.11825422912,1.9065752526,0.170288076846,0.153271042099,1.57709168948,1.41949155343,0.144545560804,0.130100997942
1,FFMC,5,area,74.6011998669,5.8067645277,66.2672266763,5.15806960075,25.3803117999,1.9755378536,20.7315633029,1.61369128923
1,FFMC,5,area_adjusted,2.06872145433,1.86199233083,0.271317219382,0.244204255074,1.5212854848,1.36926211103,0.210699566164,0.18964417635
1,FFMC,7,area,60.5002006163,4.709179202,35.8103156237,2.78738238608,19.4241661818,1.5119268774,6.02373370784,0.46887185838
1,FFMC,7,area_adjusted,1.93788759482,1.74423281201,0.0862123236736,0.0775970516315,1.37533252145,1.2378943535,0.0925226631055,0.0832767933882
1,FFMC,9,area,59.8856104375,4.66134109141,38.5644207764,3.00175481085,19.7648961484,1.53844841709,9.38553748488,0.730545972958
1,FFMC,9,area_adjusted,1.90654058556,1.71601833649,0.264584387411,0.238144240822,1.37507546556,1.23766298543,0.246083958938,0.221492576162
1,FFMC,10,area,109.218741618,8.50130447928,69.9530524591,5.44496475054,31.749627451,2.471308917,17.5995336968,1.36990220207
1,FFMC,10,area_adjusted,2.03214672584,1.82907254657,0.237002567074,0.213318695639,1.4329498593,1.28975394096,0.188144068906,0.169342669435
1,FFMC,11,area,70.8998230705,5.51865892721,52.1307941751,4.05772624243,22.0034816248,1.71269412305,12.010582352,0.934872678763
1,FFMC,11,area_adjusted,1.9474364345,1.75282742789,0.292202934887,0.263002842971,1.42591133502,1.2834187825,0.243528781474,0.219192739792
1,FFMC,13,area,55.9419824347,4.35437928332,43.3722229505,3.37598170225,19.907030572,1.54951179315,10.2012780151,0.794041106859
1,FFMC,13,area_adjusted,1.97646094836,1.77895149699,0.271626029922,0.244482205909,1.43514915484,1.29173345899,0.256330726926,0.230715375766
1,FFMC,15,area,61.1674856746,4.76111894577,48.7385517792,3.79368286445,22.0845238095,1.71900223719,12.3426363707,0.960718905105
1,FFMC,15,area_adjusted,1.9822708606,1.78418081967,0.357540915275,0.321811542489,1.42292116351,1.28072742141,0.307111811358,0.276421862526
1,FFMC,17,area,49.6338883716,3.86337355005,47.5500246898,3.70117098857,18.5146211259,1.44113024173,11.2804962645,0.878044665235
1,FFMC,17,area_adjusted,1.92639871157,1.7338920228,0.322748253548,0.29049574153,1.41780227721,1.27612006985,0.276757379762,0.249100775524
1,FFMC,19,area,52.0107936161,4.04838570916,46.3558835704,3.6082221311,19.3374011417,1.50517331099,10.4269572866,0.811607397893
1,FFMC,19,area_adjusted,1.95823678677,1.76254849162,0.270015684781,0.243032783951,1.40710268921,1.26648970093,0.253481833071,0.228151174337
1,FFMC,21,area,54.4145546232,4.2354882514,54.296675358,4.22631283415,20.8494357143,1.62286617299,14.423763763,1.12270848088
1,FFMC,21,area_adjusted,1.97576508359,1.77832517058,0.312664521085,0.28141968517,1.42893000906,1.28613579783,0.267138487925,0.240443107864
1,FFMC,23,area,63.7709964245,4.96376949157,65.6664439519,5.11130622671,23.0506916996,1.79420624787,17.916777835,1.3945956656
1,FFMC,23,area_adjusted,1.88563602928,1.69720279059,0.431148265767,0.388063246807,1.36262647551,1.22645803371,0.344520776046,0.31009251703
1,DMC,3,area,102.020635179,7.94102248367,52.7325657184,4.10456658357,24.7705466685,1.92807531223,10.1738277416,0.791904448534
1,DMC,3,area_adjusted,1.88341497187,1.69520368537,0.0298393766207,0.0268575019165,1.34381612083,1.20952741404,0.0295575529664,0.0266038411436
1,DMC,5,area,71.0874189311,5.53326090399,44.9835388681,3.50140236746,22.2207130321,1.72960285418,10.2980342399,0.801572361249
1,DMC,5,area_adjusted,1.94993434299,1.75507571822,0.243912104468,0.219537756988,1.38874501317,1.24996652333,0.193034441735,0.173744343079
1,DMC,7,area,75.5107474164,5.87756135745,48.124920865,3.74591942054,22.6199571587,1.76067898481,11.5180616592,0.896536141376
1,DMC,7,area_adjusted,1.90739133406,1.71678406896,0.245652805633,0.221104508379,1.3362578448,1.20272444307,0.189832275225,0.170862171837
1,DMC,9,area,83.0206936508,6.46211615653,54.1963434789,4.21850326008,25.2448245614,1.96499187724,14.7383086118,1.14719183871
1,DMC,9,area_adjusted,1.9839230871,1.78566793774,0.267672402042,0.240923667482,1.42317683058,1.28095753945,0.210556876016,0.189515745353
1,DMC,10,area,58.5819571627,4.55986809089,49.2424334537,3.83290371128,19.8663729261,1.54634710711,11.5697242779,0.900557426044
1,DMC,10,area_adjusted,1.8853800235,1.69697236769,0.18437081656,0.165946481458,1.35289581959,1.21769977065,0.137789981704,0.124020509702
1,DMC,11,area,53.3099246807,4.14950671253,41.7769412093,3.25180909587,17.9690522244,1.39866456892,7.46747601729,0.581249027173
1,DMC,11,area_adjusted,1.83478539179,1.65143370127,0.182038691695,0.163847407847,1.30060518219,1.17063458186,0.164453388713,0.148019419396
1,DMC,13,area,70.8958943582,5.5183531264,51.4485144029,4.00461934889,22.8206523669,1.77630058095,11.6350267464,0.905640401363
1,DMC,13,area_adjusted,1.94436310205,1.75006121621,0.222783462632,0.200520518597,1.41709618695,1.2754845398,0.203318450457,0.183000661917
1,DMC,15,area,59.0802855104,4.59865668113,51.8089371616,4.03267372461,19.8789568627,1.54732660821,11.0582149376,0.860742861426
1,DMC,15,area_adjusted,1.95263524691,1.75750671847,0.186334684889,0.167714098727,1.41555622743,1.27409846977,0.173430374765,0.156099327471
1,DMC,17,area,56.7503926409,4.41730384374,55.1095919354,4.28958815887,19.9913655914,1.55607621303,12.5548997466,0.977240937513
1,DMC,17,area_adjusted,1.9320469709,1.73897584669,0.240760591273,0.21670117723,1.41743076599,1.27578568406,0.233413119664,0.210087944812
1,DMC,19,area,58.0730063364,4.52025267439,61.3789214863,4.77757656272,20.776938875,1.61722320644,15.3733589278,1.19662251348
1,DMC,19,area_adjusted,1.91150157922,1.72048357377,0.334937918204,0.301467282457,1.38255858463,1.24439830994,0.264971337621,0.238492522763
1,DMC,21,area,58.0341342431,4.51722697114,61.1483462568,4.75962918297,20.552768254,1.59977434486,14.881959316,1.15837323814
1,DMC,21,area_adjusted,1.89474523126,1.70540170215,0.298359255077,0.268543956762,1.36666410035,1.23009217521,0.298761643119,0.268906133819
1,DMC,23,area,54.4271326277,4.23646729075,57.2030937611,4.45254092856,20.4669694106,1.59309598471,14.1640451204,1.10249265321
1,DMC,23,area_adjusted,1.86407051607,1.67779233776,0.343954136986,0.309582502702,1.35670127946,1.22112494763,0.28946496498,0.260538480764
1,DC,3,area,64.4013842753,5.0128372521,34.5806823508,2.69167091114,22.2577524981,1.73248591045,7.98582802779,0.621596207551
